"","c1","c2","c3","alpha","beta","gamma","s_m.r","s_r1","s_r2","lambda"
"c1",1,0.74294222224397,-0.569026234383509,-0.0430306689371168,-0.0250531519858734,0.046872748591448,-0.0174624065658727,-0.0141004153376574,-0.028848001996943,-0.0118438726209538
"c2",0.74294222224397,1,-0.391190905105419,-0.0177234612309956,-0.0317391709976137,0.00649208692987792,-0.00455571711537168,-0.0172134144757145,0.0124580873681236,-0.112291400243646
"c3",-0.569026234383509,-0.391190905105419,1,-0.0458962687054415,-0.055175165914281,0.035883387283792,0.00839228847828141,0.00687834246231242,0.00175563237056585,-0.00152067890889298
"alpha",-0.0430306689371168,-0.0177234612309956,-0.0458962687054415,1,0.702647946758008,0.370330433867018,-0.00953763139192831,-0.0218553826537955,0.336109662491638,-0.0330431782482953
"beta",-0.0250531519858734,-0.0317391709976137,-0.055175165914281,0.702647946758008,1,-0.054758406792796,-0.0184942041742998,-0.0412806242019058,0.0546048841501359,0.0481336856157031
"gamma",0.046872748591448,0.00649208692987792,0.035883387283792,0.370330433867018,-0.054758406792796,1,-0.00916270942238932,-0.037167415500812,0.22003971688237,-0.107982624559707
"s_m.r",-0.0174624065658727,-0.00455571711537168,0.00839228847828141,-0.00953763139192831,-0.0184942041742998,-0.00916270942238932,1,0.0303091449296513,0.00497065348021844,0.0396813180692131
"s_r1",-0.0141004153376574,-0.0172134144757145,0.00687834246231242,-0.0218553826537955,-0.0412806242019058,-0.037167415500812,0.0303091449296513,1,-0.562629999220754,0.288619121583442
"s_r2",-0.028848001996943,0.0124580873681236,0.00175563237056585,0.336109662491638,0.0546048841501359,0.22003971688237,0.00497065348021844,-0.562629999220754,1,-0.194803412418301
"lambda",-0.0118438726209538,-0.112291400243646,-0.00152067890889298,-0.0330431782482953,0.0481336856157031,-0.107982624559707,0.0396813180692131,0.288619121583442,-0.194803412418301,1
