"","c1","c2","c3","alpha","beta","gamma","s_m.s1","s_m.s2","s_m.s3","s_s1","s_s2","lambda"
"c1",1,0.625669447501419,-0.603874564065659,0.010742698574717,0.0159511919714545,0.0500135687505113,-0.115785083201795,-0.210859874322406,-0.0308256637935018,-0.0139498479736502,-0.00309346087633226,0.0208187583518243
"c2",0.625669447501419,1,-0.396694679112796,0.00160096911165115,0.00825380159033275,-0.01971407848507,-0.0433148453775192,-0.424533613086973,-0.270794515667265,-0.00523656985325632,-0.0264277128052003,-0.0293722535909889
"c3",-0.603874564065659,-0.396694679112796,1,-0.068140733524081,-0.0625403715335796,-0.0490934809935322,-0.0478204960043512,0.120967290380771,0.0768194275193849,0.0740467219158617,-0.0484320144918873,0.059900865573439
"alpha",0.010742698574717,0.00160096911165115,-0.068140733524081,1,0.801776294103522,0.695365601652624,0.00898903082318272,0.0375148124549496,0.0483590163102443,-0.180778781374521,0.230793119968039,-0.0109557706595249
"beta",0.0159511919714545,0.00825380159033275,-0.0625403715335796,0.801776294103522,1,0.656219793569813,0.00241745814746575,0.0453201920616439,0.0702636013222879,-0.00361543422320002,0.0203846994270372,0.0559941197352268
"gamma",0.0500135687505113,-0.01971407848507,-0.0490934809935322,0.695365601652624,0.656219793569813,1,-0.0251851475053771,0.0358501291786758,0.0859057643384975,-0.174583043748984,0.208120706042862,-0.000613995296538785
"s_m.s1",-0.115785083201795,-0.0433148453775192,-0.0478204960043512,0.00898903082318272,0.00241745814746575,-0.0251851475053771,1,-0.108537528320086,-0.522148727106881,0.000234990174294003,-0.01740902562118,0.00925920402145895
"s_m.s2",-0.210859874322406,-0.424533613086973,0.120967290380771,0.0375148124549496,0.0453201920616439,0.0358501291786758,-0.108537528320086,1,0.614215645841353,-0.00473956809416323,0.0468771630435095,0.0510938772900477
"s_m.s3",-0.0308256637935018,-0.270794515667265,0.0768194275193849,0.0483590163102443,0.0702636013222879,0.0859057643384975,-0.522148727106881,0.614215645841353,1,-0.0047303112623521,0.0548007948557353,0.0254071986038389
"s_s1",-0.0139498479736502,-0.00523656985325632,0.0740467219158617,-0.180778781374521,-0.00361543422320002,-0.174583043748984,0.000234990174294003,-0.00473956809416323,-0.0047303112623521,1,-0.810499632081499,0.35856904851081
"s_s2",-0.00309346087633226,-0.0264277128052003,-0.0484320144918873,0.230793119968039,0.0203846994270372,0.208120706042862,-0.01740902562118,0.0468771630435095,0.0548007948557353,-0.810499632081499,1,-0.305384983176396
"lambda",0.0208187583518243,-0.0293722535909889,0.059900865573439,-0.0109557706595249,0.0559941197352268,-0.000613995296538785,0.00925920402145895,0.0510938772900477,0.0254071986038389,0.35856904851081,-0.305384983176396,1
