"","c1","c2","c3","alpha","beta","gamma","sigma","s_m.n1","s_m.n2","s_m.n3","lambda"
"c1",0.0532552607140312,0.0989034309378276,-0.067411345119954,9.79018077526084e-05,0.000108279288826642,0.00204370679500181,-1.50782413329118e-05,-0.00219321454200315,0.00303231821910136,0.0353361331367592,-9.37638861569936e-05
"c2",0.0989034309378276,0.595543215330749,-0.11669927755216,0.000328251646306516,0.000166629454849658,0.00634627154047357,-0.000198056825159449,0.0101750267517522,0.0180220333677006,0.113760733488594,-0.000447619565481548
"c3",-0.067411345119954,-0.11669927755216,0.186659085316727,-0.000155663439811017,-0.000143851824976254,-0.00103926144628997,-6.27751818475832e-05,0.00522918442157897,-0.00391705287935847,-0.03487102580057,0.000198404241156455
"alpha",9.79018077526084e-05,0.000328251646306516,-0.000155663439811017,9.83676480838428e-05,3.58856302796386e-05,0.000781167873972072,5.70192509030029e-06,-6.93059487910493e-06,-0.000115992682898156,0.00328798127097818,3.27483894377777e-06
"beta",0.000108279288826642,0.000166629454849658,-0.000143851824976254,3.58856302796386e-05,0.000103653712795755,0.000245657066424524,6.49814321531489e-07,0.000151436463517892,9.30288115085094e-05,0.00109687250237907,-9.18154154050648e-06
"gamma",0.00204370679500181,0.00634627154047357,-0.00103926144628997,0.000781167873972072,0.000245657066424524,0.0160498921407307,0.000130078234123123,-0.000167694747220621,-0.00155259046537218,0.015386866463919,-0.000395333892034435
"sigma",-1.50782413329118e-05,-0.000198056825159449,-6.27751818475832e-05,5.70192509030029e-06,6.49814321531489e-07,0.000130078234123123,0.000101863476158058,-0.000128508634968909,-0.000175894915284775,0.00279240710687588,-3.46899851926326e-05
"s_m.n1",-0.00219321454200315,0.0101750267517522,0.00522918442157897,-6.93059487910493e-06,0.000151436463517892,-0.000167694747220621,-0.000128508634968909,0.0505342146785621,0.0487129665346534,-0.157607912736724,6.08255368949189e-05
"s_m.n2",0.00303231821910136,0.0180220333677006,-0.00391705287935847,-0.000115992682898156,9.30288115085094e-05,-0.00155259046537218,-0.000175894915284775,0.0487129665346534,0.0717645049250511,-0.451621234159934,9.45747895456666e-05
"s_m.n3",0.0353361331367592,0.113760733488594,-0.03487102580057,0.00328798127097818,0.00109687250237907,0.015386866463919,0.00279240710687588,-0.157607912736724,-0.451621234159934,59.4299511977644,-0.00260648079795773
"lambda",-9.37638861569936e-05,-0.000447619565481548,0.000198404241156455,3.27483894377777e-06,-9.18154154050648e-06,-0.000395333892034435,-3.46899851926326e-05,6.08255368949189e-05,9.45747895456666e-05,-0.00260648079795773,0.000172577730980505
