"","c1","c2","c3","alpha","beta","gamma","s_m.r","s_r1","s_r2","lambda"
"c1",0.0348622671977421,0.0277465736111534,-0.0319850419772869,-0.000285448789878849,-0.000532206773129483,0.00119063517301923,-0.00028913662134023,-4.51795109939095e-05,-0.000371186167127446,-3.4850758193964e-05
"c2",0.0277465736111534,0.0400085684792106,-0.0235560288371776,-0.00012594975903734,-0.000722291153950376,0.000176661252874875,-8.08080167381882e-05,-5.9084741448198e-05,0.000171722067468293,-0.000353967748061962
"c3",-0.0319850419772869,-0.0235560288371776,0.0906303471983316,-0.000490892612634771,-0.00188982104204598,0.00146963920077144,0.0002240466314692,3.55346812281425e-05,3.64224060566606e-05,-7.21464611902385e-06
"alpha",-0.000285448789878849,-0.00012594975903734,-0.000490892612634771,0.00126224770653015,0.00284020892168359,0.00178995524610858,-3.00492766382625e-05,-1.33248557723834e-05,0.00082290845213846,-1.85009827208156e-05
"beta",-0.000532206773129483,-0.000722291153950376,-0.00188982104204598,0.00284020892168359,0.0129443551874494,-0.000847562020934294,-0.000186593732180334,-8.05968880290991e-05,0.000428124351310039,8.63038195957197e-05
"gamma",0.00119063517301923,0.000176661252874875,0.00146963920077144,0.00178995524610858,-0.000847562020934294,0.0185080620512897,-0.000110541557725966,-8.67710081373373e-05,0.00206290762459483,-0.000231512818196757
"s_m.r",-0.00028913662134023,-8.08080167381882e-05,0.0002240466314692,-3.00492766382625e-05,-0.000186593732180334,-0.000110541557725966,0.00786397973565482,4.61239703549749e-05,3.03761627591451e-05,5.54559272772933e-05
"s_r1",-4.51795109939095e-05,-5.9084741448198e-05,3.55346812281425e-05,-1.33248557723834e-05,-8.05968880290991e-05,-8.67710081373373e-05,4.61239703549749e-05,0.000294485295566667,-0.000665354229718088,7.80544372474274e-05
"s_r2",-0.000371186167127446,0.000171722067468293,3.64224060566606e-05,0.00082290845213846,0.000428124351310039,0.00206290762459483,3.03761627591451e-05,-0.000665354229718088,0.00474893756878823,-0.000211560935921838
"lambda",-3.4850758193964e-05,-0.000353967748061962,-7.21464611902385e-06,-1.85009827208156e-05,8.63038195957197e-05,-0.000231512818196757,5.54559272772933e-05,7.80544372474274e-05,-0.000211560935921838,0.000248359844072356
