"","c1","c2","c3","alpha","beta","gamma","s_m.s1","s_m.s2","s_m.s3","s_s1","s_s2","lambda"
"c1",0.0297269713621528,0.0495508938552422,-0.034247098697667,5.25373895454594e-05,7.45535422510891e-05,0.00176521849996973,-0.00211193325683573,-0.0182842439112011,-0.00272736768839407,-3.38618278575071e-05,-8.3963066173698e-05,2.94065089948028e-05
"c2",0.0495508938552422,0.210990268745185,-0.0599362136750617,2.08590215583783e-05,0.000102774422757697,-0.0018537150965077,-0.00210484551226452,-0.0980733533211469,-0.0638303165756741,-3.38644248793788e-05,-0.00191099310868481,-0.000110530413632593
"c3",-0.034247098697667,-0.0599362136750617,0.108194063481658,-0.000635752809059088,-0.000557650353263306,-0.00330568019599736,-0.0016640563820837,0.0200113965988127,0.0129666773271066,0.000342904467573098,-0.00250785590404393,0.00016141657481773
"alpha",5.25373895454594e-05,2.08590215583783e-05,-0.000635752809059088,0.000804562033458578,0.000616499583497571,0.00403764622254951,2.69739707160607e-05,0.00053516817284019,0.000703903535895616,-7.21926214932683e-05,0.00103055447917812,-2.54586876820019e-06
"beta",7.45535422510891e-05,0.000102774422757697,-0.000557650353263306,0.000616499583497571,0.000734851554825416,0.00364153448900933,6.93283744606765e-06,0.000617873089792575,0.000977431059939179,-1.37983089231734e-06,8.69906248806629e-05,1.24352792925485e-05
"gamma",0.00176521849996973,-0.0018537150965077,-0.00330568019599736,0.00403764622254951,0.00364153448900933,0.041905457448575,-0.000545421227463431,0.00369091248897114,0.00902429991924405,-0.00050315633418018,0.00670685493857121,-1.02970696584584e-06
"s_m.s1",-0.00211193325683573,-0.00210484551226452,-0.0016640563820837,2.69739707160607e-05,6.93283744606765e-06,-0.000545421227463431,0.0111919172224464,-0.00577483928809808,-0.0283466923043209,3.49999592412426e-07,-0.000289931257244041,8.02489228631194e-06
"s_m.s2",-0.0182842439112011,-0.0980733533211469,0.0200113965988127,0.00053516817284019,0.000617873089792575,0.00369091248897114,-0.00577483928809808,0.252938804084793,0.158520169005737,-3.35592377725979e-05,0.00371139673075562,0.000210518324359988
"s_m.s3",-0.00272736768839407,-0.0638303165756741,0.0129666773271066,0.000703903535895616,0.000977431059939179,0.00902429991924405,-0.0283466923043209,0.158520169005737,0.263336975075829,-3.41752130600602e-05,0.0044270161742167,0.000106813468318158
"s_s1",-3.38618278575071e-05,-3.38644248793788e-05,0.000342904467573098,-7.21926214932683e-05,-1.37983089231734e-06,-0.00050315633418018,3.49999592412426e-07,-3.35592377725979e-05,-3.41752130600602e-05,0.000198212564746121,-0.00179633256137923,4.13572547269269e-05
"s_s2",-8.3963066173698e-05,-0.00191099310868481,-0.00250785590404393,0.00103055447917812,8.69906248806629e-05,0.00670685493857121,-0.000289931257244041,0.00371139673075562,0.0044270161742167,-0.00179633256137923,0.0247820175011599,-0.000393848613267155
"lambda",2.94065089948028e-05,-0.000110530413632593,0.00016141657481773,-2.54586876820019e-06,1.24352792925485e-05,-1.02970696584584e-06,8.02489228631194e-06,0.000210518324359988,0.000106813468318158,4.13572547269269e-05,-0.000393848613267155,6.71160867916877e-05
